core_id,available_core_mat,available_overlay,available_he,group_provisional,label_source,notes
A16,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
C14,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
E12,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
F2,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
F13,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
H3,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
I7,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
J9,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
J11,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
K6,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
L3,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
L8,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
L12,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
L16,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
M13,yes,unknown,serial-section-array-level,unknown,pending_BR20832_audit,
